Date,Close
5/10/2000,"1,383.05"
5/11/2000,"1,407.81"
5/12/2000,"1,420.96"
5/15/2000,"1,452.36"
5/16/2000,"1,466.04"
5/17/2000,"1,447.80"
5/18/2000,"1,437.21"
5/19/2000,"1,406.95"
5/22/2000,"1,400.72"
5/23/2000,"1,373.86"
5/24/2000,"1,399.05"
5/25/2000,"1,381.52"
5/26/2000,"1,378.02"
5/30/2000,"1,422.45"
5/31/2000,"1,420.60"
6/1/2000,"1,448.81"
6/2/2000,"1,477.26"
6/5/2000,"1,467.63"
6/6/2000,"1,457.84"
6/7/2000,"1,471.36"
6/8/2000,"1,461.67"
6/9/2000,"1,456.95"
6/12/2000,"1,446.00"
6/13/2000,"1,469.44"
6/14/2000,"1,470.54"
6/15/2000,"1,478.73"
6/16/2000,"1,464.46"
6/19/2000,"1,486.00"
6/20/2000,"1,475.95"
6/21/2000,"1,479.13"
6/22/2000,"1,452.18"
6/23/2000,"1,441.48"
6/26/2000,"1,455.31"
6/27/2000,"1,450.55"
6/28/2000,"1,454.82"
6/29/2000,"1,442.39"
6/30/2000,"1,454.60"
7/3/2000,"1,469.32"
7/5/2000,"1,446.23"
7/6/2000,"1,456.67"
7/7/2000,"1,478.90"
7/10/2000,"1,475.62"
7/11/2000,"1,480.88"
7/12/2000,"1,492.92"
7/13/2000,"1,495.84"
7/14/2000,"1,509.98"
7/17/2000,"1,510.49"
7/18/2000,"1,493.74"
7/19/2000,"1,481.96"
7/20/2000,"1,495.57"
7/21/2000,"1,480.19"
7/24/2000,"1,464.29"
7/25/2000,"1,474.47"
7/26/2000,"1,452.42"
7/27/2000,"1,449.62"
7/28/2000,"1,419.89"
7/31/2000,"1,430.83"
8/1/2000,"1,438.10"
8/2/2000,"1,438.70"
8/3/2000,"1,452.56"
8/4/2000,"1,462.93"
8/7/2000,"1,479.32"
8/8/2000,"1,482.80"
8/9/2000,"1,472.87"
8/10/2000,"1,460.25"
8/11/2000,"1,471.84"
8/14/2000,"1,491.56"
8/15/2000,"1,484.43"
8/16/2000,"1,479.85"
8/17/2000,"1,496.07"
8/18/2000,"1,491.72"
8/21/2000,"1,499.48"
8/22/2000,"1,498.13"
8/23/2000,"1,505.97"
8/24/2000,"1,508.31"
8/25/2000,"1,506.45"
8/28/2000,"1,514.09"
8/29/2000,"1,509.84"
8/30/2000,"1,502.59"
8/31/2000,"1,517.68"
9/1/2000,"1,520.77"
9/5/2000,"1,507.08"
9/6/2000,"1,492.25"
9/7/2000,"1,502.51"
9/8/2000,"1,494.64"
9/11/2000,"1,489.26"
